iter	Logloss
0	0.5535627524
1	0.4799775066
2	0.4447694327
3	0.4261869691
4	0.4151068219
5	0.4087153673
6	0.4052846324
7	0.4031261515
8	0.4017701406
9	0.4006882005
10	0.40000112
11	0.3993328304
12	0.3989583185
13	0.3986228224
14	0.3983163145
15	0.3980629563
16	0.3978528626
17	0.3976489516
18	0.3974895726
19	0.3973540689
20	0.3972036789
21	0.3970467743
22	0.3969272931
23	0.3967822671
24	0.3966272345
25	0.3965245426
26	0.3964247285
27	0.3963392864
28	0.3962542998
29	0.3961899165
30	0.3961089872
31	0.3960325833
32	0.395951703
33	0.3958895015
34	0.3958438924
35	0.3958069553
36	0.3957248515
37	0.395656128
38	0.3955941196
39	0.3955053635
40	0.3954451232
41	0.3953659406
42	0.3952899858
43	0.395206612
44	0.3951272715
45	0.3950797681
46	0.3950333561
47	0.3949870291
48	0.3949452858
49	0.3948755331
50	0.3948222802
51	0.3947632275
52	0.394722332
53	0.3946535404
54	0.3946116414
55	0.3945539601
56	0.3944862684
57	0.3944302306
58	0.3943717603
59	0.394326878
60	0.3942783176
61	0.3942179079
62	0.394167893
63	0.3941382612
64	0.3940835958
65	0.394046199
66	0.3939895079
67	0.393959657
68	0.3939150639
69	0.3938714802
70	0.3938197726
71	0.3937731996
72	0.3937329998
73	0.3936900396
74	0.3936508657
75	0.3936181249
76	0.3935832518
77	0.3935329284
78	0.3934926164
79	0.3934456388
80	0.3934106322
81	0.393372676
82	0.393321306
83	0.3932743087
84	0.3932393948
85	0.3931876743
86	0.3931545097
87	0.3931255788
88	0.3930835248
89	0.3930412181
90	0.3930111632
91	0.3929745631
92	0.3929314996
93	0.3928914737
94	0.3928593681
95	0.3928233035
96	0.3927894548
97	0.3927637395
98	0.3927402033
99	0.3927123143
100	0.3926855482
101	0.3926584389
102	0.3926312786
103	0.3926013888
104	0.392559406
105	0.3925287731
106	0.3924947771
107	0.3924643808
108	0.3924368172
109	0.3924000001
110	0.3923579362
111	0.3923300053
112	0.3922899885
113	0.392267747
114	0.3922424476
115	0.3922119878
116	0.3921901876
117	0.3921608576
118	0.392137088
119	0.3921065583
120	0.3920739663
121	0.3920452222
122	0.3920244052
123	0.3919970364
124	0.3919692753
125	0.3919471119
126	0.3919208758
127	0.3918964867
128	0.3918651147
129	0.3918337176
130	0.3917999807
131	0.3917801642
132	0.3917539775
133	0.3917335954
134	0.3917126219
135	0.3916883916
136	0.3916669433
137	0.3916502901
138	0.3916268903
139	0.3916050535
140	0.3915784819
141	0.3915567789
142	0.3915317322
143	0.3914915664
144	0.3914707923
145	0.3914413484
146	0.3914145157
147	0.3913954272
148	0.3913755647
149	0.3913542539
150	0.3913300663
151	0.3913124276
152	0.3912850237
153	0.3912727567
154	0.391253902
155	0.3912291917
156	0.391201956
157	0.3911806411
158	0.3911534131
159	0.3911298405
160	0.3911139926
161	0.3910948469
162	0.391065057
163	0.3910441663
164	0.3910210465
165	0.3910006688
166	0.3909794176
167	0.3909630895
168	0.3909385407
169	0.390912077
170	0.3908889401
171	0.3908666679
172	0.3908485388
173	0.3908288669
174	0.39080613
175	0.3907915814
176	0.3907728195
177	0.3907527947
178	0.3907350493
179	0.3907204792
180	0.3906946931
