iter	Passed	Remaining
399	39381	59072
400	39476	58969
401	39558	58845
402	39645	58729
403	39728	58610
404	39811	58488
405	39894	58368
406	39979	58250
407	40066	58135
408	40141	58003
409	40237	57902
410	40319	57781
411	40406	57668
412	40486	57543
413	40572	57428
414	40655	57308
415	40743	57197
416	40824	57076
417	40906	56955
418	40991	56840
419	41073	56720
420	41159	56606
421	41250	56499
422	41327	56374
423	41411	56257
424	41500	56147
425	41579	56024
426	41662	55908
427	41739	55783
428	41825	55669
429	41922	55571
430	42018	55472
431	42108	55364
432	42197	55256
433	42289	55151
434	42375	55039
435	42464	54931
436	42562	54834
437	42672	54753
438	42784	54674
439	42885	54582
440	43005	54512
441	43125	54443
442	43220	54342
443	43335	54266
444	43422	54156
445	43515	54052
446	43616	53959
447	43742	53896
448	43856	53818
449	43989	53765
450	44091	53672
451	44212	53603
452	44324	53521
453	44425	53427
454	44531	53339
455	44649	53265
456	44758	53181
457	44856	53083
458	44940	52968
459	45029	52860
460	45116	52750
461	45223	52662
462	45348	52595
463	45469	52524
464	45580	52442
465	45697	52365
466	45785	52256
467	45894	52171
468	46002	52083
469	46110	51997
470	46211	51902
471	46316	51811
472	46415	51714
473	46505	51607
474	46592	51496
475	46690	51399
476	46778	51290
477	46866	51181
478	46949	51066
479	47047	50967
480	47178	50905
481	47293	50826
482	47415	50753
483	47519	50660
484	47629	50575
485	47722	50472
486	47811	50363
487	47902	50258
488	47989	50148
489	48087	50050
490	48198	49964
491	48306	49877
492	48398	49773
493	48496	49674
494	48597	49579
495	48691	49477
496	48788	49377
497	48869	49261
498	48951	49147
499	49028	49028
500	49128	48932
501	49239	48847
502	49322	48733
503	49406	48621
504	49502	48522
505	49613	48436
506	49716	48343
507	49803	48235
508	49893	48129
509	49979	48019
510	50053	47898
511	50136	47786
512	50220	47675
513	50305	47565
514	50387	47451
515	50470	47340
516	50559	47234
517	50657	47137
518	50740	47025
519	50822	46912
520	50910	46805
521	50997	46699
522	51076	46583
523	51164	46477
524	51248	46367
525	51321	46248
526	51410	46142
527	51500	46038
528	51593	45936
529	51665	45816
530	51753	45710
531	51840	45604
532	51930	45500
533	52026	45401
534	52109	45291
535	52185	45175
536	52273	45070
537	52343	44949
538	52428	44841
539	52510	44730
540	52591	44620
541	52682	44518
542	52766	44409
543	52845	44296
544	52933	44191
545	53027	44092
546	53102	43976
547	53187	43870
548	53284	43772
549	53371	43667
550	53461	43564
551	53553	43463
552	53647	43364
553	53721	43248
554	53814	43148
555	53893	43037
556	53979	42931
557	54071	42830
558	54146	42716
559	54248	42623
560	54344	42525
561	54432	42422
562	54507	42308
563	54596	42206
564	54683	42101
565	54770	41997
566	54851	41887
567	54939	41785
568	55029	41683
569	55117	41579
570	55215	41484
571	55292	41372
572	55394	41280
573	55477	41173
574	55562	41067
575	55660	40972
576	55743	40865
577	55825	40758
578	55917	40658
579	55992	40546
580	56074	40439
581	56173	40344
582	56254	40236
583	56333	40128
584	56427	40029
585	56509	39922
586	56593	39818
587	56681	39715
588	56768	39612
589	56857	39511
590	56948	39410
591	57029	39304
592	57119	39203
593	57204	39099
594	57305	39006
595	57392	38903
596	57472	38796
597	57558	38693
598	57651	38594
599	57745	38496
600	57828	38391
601	57922	38294
602	58008	38191
603	58091	38086
604	58178	37984
605	58268	37884
606	58350	37778
607	58434	37674
608	58520	37572
609	58596	37463
610	58683	37361
611	58769	37259
612	58861	37160
613	58940	37053
614	59028	36952
615	59108	36846
616	59187	36740
617	59278	36641
618	59365	36539
619	59465	36446
620	59570	36356
621	59676	36266
622	59772	36170
623	59869	36075
624	59959	35975
625	60058	35881
626	60155	35786
627	60239	35683
628	60354	35598
629	60443	35498
630	60518	35390
631	60612	35293
632	60694	35189
633	60778	35086
634	60868	34987
635	60946	34881
636	61037	34782
637	61121	34680
638	61212	34581
639	61296	34479
640	61388	34381
641	61479	34283
642	61571	34184
643	61653	34081
644	61730	33975
645	61817	33875
646	61905	33775
647	61984	33670
648	62063	33566
649	62151	33466
650	62238	33365
651	62326	33266
652	62408	33163
653	62488	33059
654	62571	32957
655	62652	32854
656	62734	32751
657	62820	32651
658	62909	32552
659	62988	32448
660	63067	32344
661	63167	32251
662	63252	32150
663	63341	32052
664	63435	31956
665	63529	31860
666	63628	31766
667	63729	31674
668	63835	31583
669	63926	31486
670	64016	31388
671	64105	31289
672	64208	31197
673	64305	31103
674	64432	31023
675	64535	30931
676	64641	30840
677	64743	30748
678	64852	30659
679	64960	30569
680	65068	30479
681	65174	30389
682	65283	30299
683	65393	30211
684	65493	30117
685	65597	30025
686	65704	29935
687	65816	29847
688	65913	29752
689	66014	29658
690	66128	29571
691	66226	29476
692	66329	29383
693	66419	29285
694	66522	29193
695	66626	29101
696	66733	29010
697	66841	28920
698	66955	28832
699	67068	28743
700	67179	28654
701	67320	28577
702	67437	28490
703	67539	28397
704	67669	28315
705	67783	28226
706	67894	28137
707	68006	28047
708	68112	27956
709	68212	27861
710	68316	27768
711	68418	27675
712	68520	27581
713	68633	27491
714	68731	27396
715	68826	27299
716	68924	27204
717	69009	27104
718	69089	27001
719	69182	26904
720	69287	26811
721	69411	26726
722	69522	26635
723	69612	26537
724	69702	26439
725	69784	26337
726	69867	26236
727	69958	26138
728	70056	26042
729	70172	25954
730	70275	25860
731	70390	25771
732	70490	25676
733	70592	25582
734	70696	25489
735	70799	25395
736	70888	25296
737	70978	25198
738	71076	25102
739	71160	25002
740	71245	24902
741	71334	24803
742	71425	24705
743	71522	24609
744	71630	24517
745	71739	24426
746	71851	24335
747	71959	24242
748	72043	24142
749	72127	24042
750	72216	23943
751	72302	23844
752	72396	23747
753	72519	23660
754	72638	23571
755	72741	23477
756	72840	23381
757	72940	23287
758	73050	23195
759	73145	23098
760	73225	22997
761	73306	22896
762	73407	22801
763	73512	22708
764	73590	22606
765	73679	22507
766	73764	22408
767	73874	22316
768	73963	22217
769	74062	22122
770	74150	22024
771	74246	21927
772	74334	21829
773	74445	21737
774	74578	21651
775	74707	21565
776	74820	21473
777	74930	21381
778	75050	21291
779	75187	21206
780	75304	21116
781	75443	21031
782	75542	20935
783	75628	20836
784	75727	20740
785	75820	20643
786	75921	20548
787	76012	20449
788	76111	20354
789	76202	20256
790	76284	20155
791	76377	20058
792	76463	19959
793	76550	19860
794	76632	19760
795	76716	19661
796	76796	19560
797	76874	19459
798	76952	19358
799	77028	19257
800	77116	19158
801	77201	19059
802	77288	18961
803	77376	18862
804	77471	18766
805	77567	18670
806	77649	18570
807	77737	18472
808	77835	18376
809	77921	18277
810	78006	18179
811	78088	18079
812	78178	17982
813	78273	17885
814	78358	17786
815	78451	17690
816	78529	17589
817	78622	17493
818	78712	17395
819	78792	17295
820	78867	17195
821	78959	17098
822	79045	17000
823	79136	16902
824	79224	16805
825	79310	16706
826	79405	16610
827	79491	16512
828	79573	16413
829	79663	16316
830	79774	16223
831	79884	16130
832	79991	16036
833	80086	15940
834	80176	15843
835	80273	15747
836	80352	15648
837	80436	15549
838	80519	15451
839	80634	15358
840	80747	15266
841	80854	15172
842	80986	15082
843	81092	14988
844	81197	14894
845	81305	14800
846	81400	14704
847	81490	14606
848	81574	14508
849	81675	14413
850	81754	14314
851	81839	14216
852	81925	14118
853	82007	14020
854	82099	13923
855	82189	13826
856	82281	13729
857	82381	13634
858	82465	13536
859	82547	13437
860	82627	13339
861	82706	13240
862	82794	13143
863	82887	13047
864	82974	12949
865	83054	12851
866	83129	12752
867	83221	12655
868	83306	12558
869	83394	12461
870	83485	12364
871	83563	12266
872	83656	12170
873	83750	12073
874	83844	11977
875	83934	11881
876	84030	11785
877	84110	11687
878	84208	11591
